Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022 Poverty and Median Household Income Estimates - Counties, States, and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release date:  December 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
01,073,AL,Jefferson County,"106,000","97,498","114,502",16.4,15.1,17.7,"31,449","27,409","35,489",21.4,18.7,24.1,"22,367","19,112","25,622",20.7,17.7,23.7,"61,996","60,227","63,765",.,.,.,.,.,.
01,075,AL,Lamar County,"2,457","1,923","2,991",18.1,14.2,22.0,663,447,879,22.5,15.2,29.8,476,318,634,22.2,14.8,29.6,"51,523","45,887","57,159",.,.,.,.,.,.
01,077,AL,Lauderdale County,"12,156","9,677","14,635",13.3,10.6,16.0,"3,401","2,491","4,311",18.8,13.8,23.8,"2,559","1,874","3,244",19.0,13.9,24.1,"59,023","54,153","63,893",.,.,.,.,.,.
01,079,AL,Lawrence County,"5,402","4,244","6,560",16.4,12.9,19.9,"1,587","1,135","2,039",22.4,16.0,28.8,"1,101",751,"1,451",20.7,14.1,27.3,"55,516","49,321","61,711",.,.,.,.,.,.
01,081,AL,Lee County,"26,211","23,017","29,405",15.0,13.2,16.8,"4,783","3,231","6,335",13.0,8.8,17.2,"3,455","2,317","4,593",12.7,8.5,16.9,"59,637","55,607","63,667",.,.,.,.,.,.
01,083,AL,Limestone County,"10,669","8,528","12,810",9.9,7.9,11.9,"3,275","2,448","4,102",13.8,10.3,17.3,"2,394","1,814","2,974",13.4,10.1,16.7,"83,159","79,521","86,797",.,.,.,.,.,.
01,085,AL,Lowndes County,"2,814","2,248","3,380",29.4,23.5,35.3,971,715,"1,227",46.1,33.9,58.3,683,489,877,44.8,32.1,57.5,"42,268","37,286","47,250",.,.,.,.,.,.
01,087,AL,Macon County,"5,351","4,284","6,418",32.4,25.9,38.9,"1,400","1,027","1,773",46.5,34.1,58.9,"1,015",734,"1,296",46.8,33.8,59.8,"36,601","32,027","41,175",.,.,.,.,.,.
01,089,AL,Madison County,"44,142","38,534","49,750",11.3,9.9,12.7,"11,726","9,156","14,296",13.9,10.9,16.9,"7,851","5,897","9,805",12.6,9.5,15.7,"80,426","76,804","84,048",.,.,.,.,.,.
01,091,AL,Marengo County,"3,603","2,700","4,506",19.5,14.6,24.4,"1,405",962,"1,848",34.1,23.4,44.8,"1,020",690,"1,350",33.2,22.5,43.9,"45,587","40,930","50,244",.,.,.,.,.,.
01,093,AL,Marion County,"5,004","3,996","6,012",17.6,14.1,21.1,"1,382",982,"1,782",23.0,16.3,29.7,"1,027",730,"1,324",23.1,16.4,29.8,"47,742","42,242","53,242",.,.,.,.,.,.
01,095,AL,Marshall County,"16,175","13,957","18,393",16.5,14.2,18.8,"5,425","4,275","6,575",21.8,17.2,26.4,"3,669","2,755","4,583",20.6,15.5,25.7,"53,388","50,147","56,629",.,.,.,.,.,.
01,097,AL,Mobile County,"77,450","70,210","84,690",19.2,17.4,21.0,"25,444","21,747","29,141",27.2,23.2,31.2,"17,367","14,466","20,268",25.7,21.4,30.0,"54,315","52,104","56,526",.,.,.,.,.,.
01,099,AL,Monroe County,"3,963","3,022","4,904",20.7,15.8,25.6,"1,276",878,"1,674",31.9,22.0,41.8,943,648,"1,238",31.5,21.7,41.3,"47,498","43,032","51,964",.,.,.,.,.,.
01,101,AL,Montgomery County,"39,991","33,263","46,719",18.4,15.3,21.5,"14,312","11,087","17,537",27.2,21.1,33.3,"9,981","7,562","12,400",26.4,20.0,32.8,"56,862","53,284","60,440",.,.,.,.,.,.
01,103,AL,Morgan County,"15,935","13,147","18,723",13.1,10.8,15.4,"4,793","3,529","6,057",17.2,12.7,21.7,"3,233","2,236","4,230",15.7,10.9,20.5,"62,260","58,364","66,156",.,.,.,.,.,.
01,105,AL,Perry County,"2,714","2,116","3,312",35.9,28.0,43.8,"1,016",773,"1,259",61.2,46.6,75.8,639,435,843,52.9,36.0,69.8,"33,585","29,556","37,614",.,.,.,.,.,.
01,107,AL,Pickens County,"4,007","3,229","4,785",23.9,19.3,28.5,"1,046",728,"1,364",30.3,21.1,39.5,753,514,992,29.3,20.0,38.6,"45,440","40,233","50,647",.,.,.,.,.,.
01,109,AL,Pike County,"8,436","7,347","9,525",27.4,23.9,30.9,"2,283","1,852","2,714",36.8,29.8,43.8,"1,476","1,138","1,814",32.9,25.4,40.4,"45,144","40,224","50,064",.,.,.,.,.,.
01,111,AL,Randolph County,"4,435","3,637","5,233",20.3,16.6,24.0,"1,275",889,"1,661",27.6,19.2,36.0,935,650,"1,220",27.3,19.0,35.6,"49,433","43,576","55,290",.,.,.,.,.,.
01,113,AL,Russell County,"12,882","10,552","15,212",22.3,18.3,26.3,"4,269","3,154","5,384",30.5,22.5,38.5,"3,054","2,230","3,878",30.4,22.2,38.6,"45,074","40,229","49,919",.,.,.,.,.,.
01,115,AL,St. Clair County,"11,548","9,683","13,413",12.6,10.6,14.6,"3,501","2,778","4,224",17.2,13.6,20.8,"2,402","1,831","2,973",15.7,12.0,19.4,"70,361","64,637","76,085",.,.,.,.,.,.
01,117,AL,Shelby County,"15,339","12,423","18,255",6.8,5.5,8.1,"3,939","2,763","5,115",7.8,5.5,10.1,"2,818","1,932","3,704",7.3,5.0,9.6,"98,263","92,855","103,671",.,.,.,.,.,.
01,119,AL,Sumter County,"3,377","2,542","4,212",31.1,23.4,38.8,959,669,"1,249",42.7,29.8,55.6,689,474,904,42.4,29.2,55.6,"35,152","30,903","39,401",.,.,.,.,.,.
01,121,AL,Talladega County,"14,318","11,710","16,926",18.3,15.0,21.6,"4,192","3,107","5,277",26.0,19.3,32.7,"3,139","2,337","3,941",26.5,19.7,33.3,"55,186","51,202","59,170",.,.,.,.,.,.
01,123,AL,Tallapoosa County,"7,107","5,594","8,620",17.6,13.8,21.4,"2,073","1,464","2,682",26.1,18.4,33.8,"1,547","1,098","1,996",25.9,18.4,33.4,"55,270","50,338","60,202",.,.,.,.,.,.
01,125,AL,Tuscaloosa County,"36,853","32,129","41,577",17.0,14.8,19.2,"9,540","7,523","11,557",20.4,16.1,24.7,"6,622","5,137","8,107",19.3,15.0,23.6,"60,875","58,019","63,731",.,.,.,.,.,.
01,127,AL,Walker County,"10,557","8,579","12,535",16.7,13.6,19.8,"2,996","2,147","3,845",21.3,15.3,27.3,"2,089","1,459","2,719",20.3,14.2,26.4,"51,065","45,745","56,385",.,.,.,.,.,.
01,129,AL,Washington County,"2,493","1,844","3,142",16.7,12.4,21.0,820,553,"1,087",25.6,17.2,34.0,603,403,803,26.0,17.4,34.6,"53,785","47,334","60,236",.,.,.,.,.,.
01,131,AL,Wilcox County,"2,965","2,212","3,718",29.7,22.1,37.3,"1,001",681,"1,321",45.6,31.1,60.1,711,471,951,45.1,29.9,60.3,"33,682","30,051","37,313",.,.,.,.,.,.
01,133,AL,Winston County,"4,284","3,452","5,116",18.3,14.7,21.9,"1,191",890,"1,492",25.2,18.8,31.6,871,650,"1,092",24.7,18.4,31.0,"51,149","45,495","56,803",.,.,.,.,.,.
02,000,AK,Alaska,"77,305","73,349","81,261",10.8,10.2,11.4,"23,113","21,077","25,149",13.4,12.2,14.6,"15,001","13,231","16,771",11.9,10.5,13.3,"88,072","85,702","90,442","7,304","6,283","8,325",16.1,13.8,18.4
02,013,AK,Aleutians East Borough,549,394,704,16.2,11.6,20.8,27,17,37,14.3,8.9,19.7,18,11,25,13.5,8.0,19.0,"85,852","75,420","96,284",.,.,.,.,.,.
02,016,AK,Aleutians West Census Area,473,346,600,9.7,7.1,12.3,38,24,52,7.9,4.9,10.9,26,16,36,7.6,4.6,10.6,"112,218","104,912","119,524",.,.,.,.,.,.
02,020,AK,Anchorage Borough,"29,127","25,785","32,469",10.4,9.2,11.6,"8,369","6,923","9,815",12.7,10.5,14.9,"4,961","3,852","6,070",10.4,8.1,12.7,"99,162","95,104","103,220",.,.,.,.,.,.
02,050,AK,Bethel Census Area,"3,910","3,091","4,729",21.9,17.3,26.5,"1,693","1,174","2,212",27.0,18.7,35.3,"1,155",757,"1,553",26.2,17.2,35.2,"59,011","53,762","64,260",.,.,.,.,.,.
02,060,AK,Bristol Bay Borough,117,95,139,13.6,11.0,16.2,24,16,32,13.3,8.8,17.8,18,12,24,13.7,8.8,18.6,"96,382","84,136","108,628",.,.,.,.,.,.
02,063,AK,Chugach Census Area,448,318,578,6.7,4.7,8.7,117,74,160,7.8,4.9,10.7,84,52,116,7.4,4.6,10.2,"91,356","81,888","100,824",.,.,.,.,.,.
02,066,AK,Copper River Census Area,359,265,453,13.9,10.3,17.5,123,81,165,19.6,12.9,26.3,87,55,119,17.7,11.2,24.2,"63,837","55,882","71,792",.,.,.,.,.,.
